id,duration,length_cycling,length_local,partition,end_of_facility,length_bike_lane,length_seperate_cycling_link,length_collector,elev_m3,intersections,intersections_disc,length_arterial,length,elev_m2,avg_speed,length_inverse,traffic_lights,length_designated_roadway,length_other_road,change_of_facility_type,length_offroad,right_turn,left_turn,length_highway
458,1138,1559.729568339505,1720.9699416368726,"[562, 284]",0,1559.729568339505,0,2307.5449749325585,0.027410761753632974,56,42,66.9459257444974,5764.618331045678,1.2314037354298792,5.065569710936448,0,13,0,0,1,0,5,4,0
144,1977,3216.765939889627,1849.8381833490926,"[30, 617]",1,1257.600461475771,1154.206852567449,3611.484155413661,0.01260122859234802,98,38,2047.7818753908484,10821.852451810268,4.88518949649257,5.473875797577272,54.2963922542006,24,804.9586258464069,0,5,0,8,8,0
217,1125,0,1527.7730950281878,"[562, 284]",0,0,0,88.88875302898524,0.06460977674619779,65,2,4187.750278224217,5823.47084824822,1.0007188388352704,5.1764185317761955,76.35965982588999,20,0,0,0,0,6,5,0
391,788,1035.8784383021612,1768.064273686795,"[234, 277]",0,219.1309664377323,816.7474718644287,548.6728129645351,0.013542603091320698,19,10,0,3397.912935640912,0.6727988720422868,4.3120722533514115,0,11,0,0,3,0,2,4,0
735,670,769.0209413882525,928.1855316029198,"[44, 212]",0,0,769.0209413882525,222.52682644381287,0.08658986261105074,21,3,520.7602818228115,2460.125387046376,1.5072692556047056,3.6718289358901135,129.14698101591696,9,0,0,0,0,3,5,0
165,255,59.240511306455744,639.6739822387922,"[209, 213]",0,59.240511306455744,0,0,-0.03297945308014768,6,0,0,1036.6692975342582,0.5711054435959573,4.0653697942519935,191.10396212744982,1,0,0,0,0,1,2,0
573,1494,464.6607622332975,363.912261746726,"[47, 412]",0,0,383.2287122107927,3403.9736565167573,0.08601285967556675,59,5,29.151402499422883,4593.873288818629,1.676949688725875,3.074881719423446,-17.720008452563405,27,81.43205002250477,0,0,0,4,3,0
186,1104,425.5824779416529,938.4100506320879,"[648, 20]",0,0,355.15941382261246,177.41938761287747,-8.781655621166758,52,17,3692.2105915681877,5265.857469991717,14.910039371940973,4.769798432963512,88.56383569628049,22,70.4230641190404,0,1,0,2,1,0
328,6661,3699.3748270597957,6303.863011955816,"[641, 26]",2,512.9601770412057,161.03006172860876,4664.491798442235,-9.143807781520144,161,33,5219.495008345597,26505.97380741424,137.54225660588554,3.979278457801267,2765.340525033299,39,754.9659948484008,2460.280396760385,1,2270.418593441581,25,14,0
355,1134,2357.331433775271,658.598289901086,"[414, 23]",0,96.06042668039942,2079.0640962064135,0,0.4634180451289107,56,21,2703.1327388504305,5872.757314293643,5.815080285555884,5.1787983371196145,34.12105757945607,8,182.20691088845774,0,5,0,3,3,0
854,1135,1400.9643392263024,839.6885256400111,"[23, 235]",0,0,1400.9643392263024,1537.0831382306633,0.19626092869129022,44,18,503.06688856305624,4321.929678763631,6.069700918587284,3.807867558382054,585.441680736061,19,0,0,2,0,7,8,0
315,2800,4515.134685801912,1383.6535236314223,"[32, 305]",0,530.6560738827452,3507.338316321205,1965.520969390993,0.08316670812789717,85,31,1487.6608688937708,11979.166255397231,6.688613656287696,4.278273662641868,166.83516232865992,29,477.14029559796245,92.42041033647769,10,0,12,10,0
569,1620,2324.441225442374,2611.962807590475,"[20, 271]",0,687.035961052195,1400.3840105359272,164.946106372719,0.125702977945492,70,32,1770.8743585310451,7029.725930252365,4.2712533522334,4.339336993982942,802.8118307159539,23,237.0212538542519,0,4,0,11,14,0
196,908,333.70728588832156,1228.4525758188233,"[472, 473]",0,0,333.70728588832156,205.56559730341547,0.0852071148492641,48,12,3199.287979122541,4967.013438133101,3.334319012057086,5.470279116886675,8.212083512054484,10,0,0,1,0,3,3,0
162,545,953.3074155658327,51.188273787381206,"[241, 220]",0,953.3074155658327,0,394.17853071054736,-0.17101294460626568,22,18,151.67089845737684,2010.6775458589127,1.9461664725331205,3.6893165979062617,421.98537651417513,9,0,0,1,0,2,0,0
